날짜,종가,전일비,시가,고가,저가,거래량
2020.08.07,314000.0,8000.0,324500.0,325500.0,312000.0,1059149.0
2020.08.06,322000.0,8500.0,313000.0,322000.0,310500.0,1032045.0
2020.08.05,313500.0,2500.0,312000.0,314500.0,306500.0,809939.0
2020.08.04,311000.0,3500.0,317500.0,322000.0,307500.0,1330818.0
2020.08.03,314500.0,13500.0,301500.0,314500.0,299000.0,1341104.0
2020.07.31,301000.0,7000.0,299000.0,303000.0,296500.0,1567503.0
2020.07.30,294000.0,2000.0,296000.0,297500.0,291000.0,1150474.0
2020.07.29,292000.0,4000.0,286000.0,292000.0,283000.0,964066.0
2020.07.28,288000.0,3500.0,289500.0,292000.0,284000.0,978238.0
2020.07.27,284500.0,3500.0,281000.0,287500.0,276500.0,691075.0
2020.07.24,281000.0,3000.0,281000.0,290500.0,278500.0,1233584.0
2020.07.23,284000.0,14000.0,272000.0,284000.0,271000.0,1396607.0
2020.07.22,270000.0,0.0,264000.0,272500.0,261500.0,905784.0
2020.07.21,270000.0,7000.0,273000.0,273500.0,269000.0,1179638.0
2020.07.20,263000.0,13000.0,276500.0,278000.0,260500.0,1556415.0
2020.07.17,276000.0,3000.0,270000.0,279500.0,266000.0,926932.0
2020.07.16,273000.0,13500.0,283000.0,285000.0,272000.0,1338814.0
2020.07.15,286500.0,500.0,290500.0,293000.0,280500.0,1276196.0
2020.07.14,287000.0,10000.0,290000.0,291000.0,285000.0,1360849.0
2020.07.13,297000.0,2000.0,303500.0,303500.0,288000.0,1254800.0
2020.07.10,299000.0,11500.0,291500.0,308500.0,290000.0,2120904.0
2020.07.09,287500.0,5000.0,286500.0,296500.0,284500.0,2006662.0
2020.07.08,282500.0,3000.0,280000.0,284500.0,274000.0,1353345.0
2020.07.07,279500.0,2000.0,285000.0,289500.0,279000.0,1365047.0
2020.07.06,281500.0,4000.0,278000.0,287500.0,278000.0,1211636.0
2020.07.03,277500.0,500.0,276500.0,280500.0,274500.0,971940.0
2020.07.02,277000.0,8000.0,274000.0,277000.0,271000.0,1015829.0
2020.07.01,269000.0,2000.0,270000.0,275000.0,266000.0,655711.0
2020.06.30,267000.0,3000.0,268000.0,270500.0,263000.0,862860.0
2020.06.29,264000.0,5000.0,265000.0,270500.0,261000.0,814814.0
2020.06.26,269000.0,500.0,274500.0,275000.0,263000.0,937593.0
2020.06.25,269500.0,9500.0,273500.0,276500.0,269500.0,1196267.0
2020.06.24,279000.0,3000.0,273500.0,279500.0,270500.0,995065.0
2020.06.23,276000.0,6000.0,272000.0,289000.0,270500.0,2104075.0
2020.06.22,270000.0,20500.0,249500.0,271500.0,247500.0,1841479.0
2020.06.19,249500.0,2000.0,250000.0,250000.0,244000.0,919945.0
2020.06.18,247500.0,3500.0,251500.0,254000.0,247000.0,744330.0
2020.06.17,251000.0,7500.0,244000.0,252000.0,243500.0,1357900.0
2020.06.16,243500.0,12000.0,239000.0,243500.0,236000.0,1155474.0
2020.06.15,231500.0,10500.0,240000.0,244500.0,230500.0,1311773.0
2020.06.12,242000.0,1500.0,229000.0,242500.0,228500.0,1318334.0
2020.06.11,240500.0,3500.0,244000.0,249000.0,239000.0,1423978.0
2020.06.10,244000.0,6500.0,241000.0,247500.0,240000.0,1431071.0
2020.06.09,237500.0,3000.0,240000.0,243000.0,235500.0,934440.0
2020.06.08,240500.0,9500.0,234500.0,242000.0,231000.0,1624752.0
2020.06.05,231000.0,1500.0,229000.0,231000.0,225000.0,1061922.0
2020.06.04,232500.0,7000.0,228000.0,235000.0,227000.0,1052789.0
2020.06.03,225500.0,8500.0,235000.0,235500.0,225000.0,1476614.0
2020.06.02,234000.0,3000.0,235000.0,236000.0,232000.0,689584.0
2020.06.01,237000.0,11000.0,233500.0,237000.0,230000.0,1140644.0
2020.05.29,226000.0,14500.0,240000.0,243000.0,226000.0,3114298.0
2020.05.28,240500.0,12000.0,226000.0,241000.0,222000.0,1625154.0
2020.05.27,228500.0,10500.0,231000.0,234500.0,226500.0,1351505.0
2020.05.26,239000.0,2000.0,244000.0,246000.0,230000.0,1568016.0
2020.05.25,241000.0,10500.0,234500.0,241000.0,234000.0,1015069.0
2020.05.22,230500.0,5500.0,227000.0,232500.0,222500.0,1108281.0
2020.05.21,225000.0,3000.0,227500.0,233500.0,222500.0,1004395.0
2020.05.20,222000.0,8500.0,215500.0,225500.0,215000.0,977544.0
2020.05.19,213500.0,1500.0,215000.0,216500.0,210500.0,917603.0
2020.05.18,215000.0,2000.0,215000.0,218000.0,211500.0,638906.0
2020.05.15,213000.0,6000.0,219000.0,219500.0,209500.0,1050469.0
2020.05.14,219000.0,500.0,214500.0,222000.0,214500.0,866427.0
2020.05.13,218500.0,1000.0,217500.0,222500.0,213500.0,1014692.0
2020.05.12,219500.0,5000.0,218000.0,226500.0,215000.0,1056584.0
2020.05.11,214500.0,500.0,214500.0,221000.0,214000.0,599328.0
2020.05.08,214000.0,1500.0,216000.0,218500.0,212000.0,732394.0
2020.05.07,215500.0,3500.0,211500.0,220000.0,210500.0,984024.0
2020.05.06,212000.0,13000.0,201500.0,212500.0,200500.0,992225.0
2020.05.04,199000.0,1500.0,198500.0,203000.0,193500.0,1104027.0
2020.04.29,197500.0,500.0,199500.0,200000.0,196500.0,676743.0
2020.04.28,198000.0,500.0,197500.0,198000.0,194500.0,433549.0
2020.04.27,197500.0,5000.0,193000.0,200000.0,192500.0,927347.0
2020.04.24,192500.0,2500.0,189000.0,197500.0,189000.0,928695.0
2020.04.23,190000.0,8000.0,190000.0,196000.0,186500.0,1521478.0
2020.04.22,182000.0,3500.0,175000.0,182500.0,173000.0,611589.0
2020.04.21,178500.0,1500.0,180500.0,181500.0,173500.0,759150.0
2020.04.20,180000.0,1000.0,181000.0,182000.0,179000.0,663723.0
2020.04.17,179000.0,8500.0,175500.0,180000.0,173500.0,900031.0
2020.04.16,170500.0,2000.0,168000.0,172500.0,167500.0,841066.0
2020.04.14,168500.0,2500.0,168000.0,170000.0,166500.0,520725.0
2020.04.13,166000.0,500.0,164500.0,168000.0,162500.0,413768.0
2020.04.10,166500.0,1000.0,166000.0,167000.0,164000.0,483720.0
2020.04.09,167500.0,1000.0,168500.0,169000.0,165000.0,682921.0
2020.04.08,166500.0,3000.0,169000.0,169500.0,166500.0,588577.0
2020.04.07,169500.0,3500.0,174000.0,174500.0,167500.0,873091.0
2020.04.06,173000.0,1000.0,173500.0,176000.0,170500.0,655547.0
2020.04.03,172000.0,1500.0,170000.0,172500.0,168000.0,663454.0
2020.04.02,173500.0,10500.0,166500.0,175000.0,164500.0,1086863.0
2020.04.01,163000.0,7000.0,166500.0,171000.0,163000.0,720283.0
2020.03.31,170000.0,7500.0,163500.0,171000.0,163500.0,858165.0
2020.03.30,162500.0,1500.0,160000.0,165000.0,159000.0,630830.0
2020.03.27,164000.0,11500.0,161500.0,164500.0,158500.0,1217815.0
2020.03.26,152500.0,3500.0,156000.0,158000.0,149500.0,988725.0
2020.03.25,156000.0,0.0,160500.0,163000.0,152000.0,1039579.0
2020.03.24,156000.0,13000.0,151500.0,157000.0,148000.0,960786.0
2020.03.23,143000.0,11000.0,141500.0,149500.0,140000.0,1033851.0
2020.03.20,154000.0,10000.0,147500.0,156500.0,146000.0,997895.0
